,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.0926601613844099,0.0033910609901181615,27.32482891178585,2.1509201540373313e-164,0.08601380397439956,0.09930651879442023
C(block)[T.2],0.0028269516879500397,0.004390871918136671,0.6438246755213249,0.5196891308231544,-0.00577899913232614,0.01143290250822622
C(block)[T.3],0.008299303370798511,0.004764035891442714,1.7420740649133095,0.08149548508585305,-0.0010380353974853793,0.0176366421390824
C(block)[T.4],0.0032990961196579013,0.005095357696294978,0.6474709561718887,0.5173271858483777,-0.006687621453429235,0.013285813692745037
C(block)[T.5],0.004222104859048628,0.00545024224706093,0.7746637062463452,0.4385384023795098,-0.006460173652209449,0.014904383370306706
C(block)[T.6],0.008147355797082501,0.006099168322571915,1.3358142235443178,0.181610002759915,-0.0038067944508060267,0.02010150604497103
C(block)[T.7],0.003014642251917397,0.007036898257408067,0.42840497924547144,0.6683563001601215,-0.01077742489547508,0.016806709399309876
C(block)[T.8],0.00824695567941634,0.007954067200733059,1.0368224797819519,0.29981859695378943,-0.0073427295646317815,0.02383664092346446
C(block)[T.9],0.008130789263247298,0.009790181789261727,0.8305044214976152,0.40625364901302186,-0.011057614445805594,0.02731919297230019
C(block)[T.10],0.002087286460793073,0.014006374039388642,0.1490240411203655,0.8815346627126621,-0.02536470221040546,0.02953927513199161
treat,0.01838593475916228,0.001898475937213687,9.684576137502454,3.5066002053104456e-22,0.01466499029670753,0.022106879221617033
baseline_activity,0.0009584799480063293,0.0023538333904379533,0.407199571515975,0.6838614162823913,-0.003654948722859867,0.005571908618872526
pre_metric,0.0010312468698302837,0.001970780232009346,0.5232683244335451,0.6007875405998377,-0.002831411406351526,0.0048939051460120935
